电影名,电影年份,电影数据,电影标签,电影时长,电影评分,电影语言,电影导演,电影作者,电影口号,电影描述
第七封印,(1957),1957-02-16 (SE),"奇幻,剧情",1h 36m,81,瑞典语,,英格玛·伯格曼,关于死亡挑战的故事。,十字军东征归来的骑士精疲力竭，发现中世纪瑞典正被瘟疫笼罩。当披着斗篷的死神突然现身时，骑士向他发起了象棋对决的挑战。随着这场命运棋局的推进，骑士与随从在绝望的社会中邂逅了形形色色的边缘人。导演英格玛·伯格曼以此展开对信仰本质与死亡折磨的深邃追问。作为当时最具影响力的电影之一，本片不仅是人类探寻意义的震撼寓言，更是一部凝练的视觉诗篇。[标准收藏公司]
多哥,(2019),2019-12-20 (US),"冒险,历史,剧情",1h 53m,81,英语,汤姆·弗林,埃里克森·科里,不为人知的真实故事,聚焦1925年雪橇手和雪橇犬齐心协力为拯救阿拉斯加州诺姆市孩子的性命而奔波于血清接力路上的事件，被称为“Great Race of Mercy”。本片将登陆迪士尼自家流媒体，2019年推出。  1924年年底，诺姆市一个2岁小孩生病，医生诊断其患有扁桃体炎，这种疾病通常不会有生命危险，然而这个小孩成为例外，接下来很多孩子都被诊断患上了扁桃体炎，有几个不幸离世，医生最终确认这种病症是白喉。当时有一种疫苗能够用来对付白喉，然后诺姆市的疫苗全部过期，新疫苗在港口关闭前却未能送达，来年6月波罗的海才会解冻，也没有公路直通诺姆市、没有飞机，唯一运输货物的通道是邮路，然而冬天只有雪橇犬能够通行。卫生局决定使用两组雪橇犬接力运输，20个雪橇手和150只雪橇犬必须日夜兼程，经过河流，跨过平原，穿过森林，穿越冰冻的阿拉斯加邮路。最近的疫苗所在地为南纳，距离诺姆市1085公里，一般情况下狗拉雪橇需要费时25日，而他们只花了5天半就成功完成接力，拯救了多名孩子的性命。  本片主角Togo是挪威赶雪橇高手Leonhard Seppala(达福饰)使用的其中一只领头犬，因机智、卓越的领导力和敏锐的直觉备受称赞。Seppala被委任传送这场接力中最危险的一段，从诺姆到奴拉托接收那批免疫血清，在零下30度、七级以上强风的环境下成功完成了任务。之后南极探险家Roald Amundsen为Togo颁发了一枚金牌。  比约恩饰演一名接力人员，在途中背叛了Seppala。
卡萨布兰卡,(1943),1943-07-07 (CN),"剧情,爱情",1h 42m,81,英语,菲利普·G·爱泼斯坦,迈克尔·柯蒂斯,他们在卡萨布兰卡和命运有个约会,二战期间，卡萨布兰卡是欧洲逃往美国的必经之地，那里鱼龙混杂，局势紧张。里克（亨佛莱•鲍嘉 Humphrey Bogart 饰）是一个神秘的商人，他在卡萨布兰卡开了一家人气很旺的夜总会，并拥有两张宝贵的通行证。一天，反纳粹人士维克多和妻子伊尔莎（英格丽•褒曼 Ingrid Bergman 饰）来到夜总会，原来他们正在逃避纳粹的追捕。碰巧的是，里克发现，伊尔莎竟然是他的旧日情人。那段爱曾经刻骨铭心，却因为一个误会而终止。而当误会消解时，伊尔莎和里克的感情还是不可避免的重燃了。里克手上的两张通行证能帮助维克多度过难关，但这样一来，伊尔莎是决定留下，还是离去，他们的爱情在政治和伦理的推波逐流中走向何方。
沙丘2,(2024),2024-03-08 (CN),"科幻,冒险",2h 46m,81,英语,弗兰克·赫伯特,丹尼斯·维伦纽瓦,战士万岁。,《沙丘2》承接第一部剧情，讲述保罗·厄崔迪（提莫西·查拉梅 Timothée Chalamet 饰）被帕迪沙皇帝和哈克南人联手灭族后，在厄拉科斯星球遇到弗雷曼女战士契妮（赞达亚 Zendaya 饰）以及加入弗雷曼人后展开的传奇旅程。保罗与让他家破人亡的阴谋家们开战，同时面临着一生所爱与已知宇宙命运的两难选择。
鹬,(2016),2016-06-17 (US),"家庭,动画",6m,81,英语,,Alan Barillaro,简介,皮克斯2016动画长片《海底总动员2》的前贴片，讲述了一只饥饿的小矶鹬，努力克服恐水症，到海浪肆虐的沙滩上觅食的故事。原来成长就是要抛去曾经的视角，才能看到最美的未来
迷魂记,(1958),2019-04-13 (CN),"悬疑,爱情,惊悚",2h 8m,81,英语,布瓦洛-纳尔瑟雅克,阿尔弗雷德·希区柯克,阿尔弗雷德·希区柯克将你卷入恐怖与紧张的漩涡之中！,这部惊悚悬疑片编织出一张令人晕眩的错位身份、激情与谋杀的巨网：患有恐高症的侦探从海湾救起一位神秘金发女郎后，陷入层层迷局。
雨中曲,(1952),1981-05-15 (CN),"喜剧,爱情",1h 43m,81,英语,阿多夫·格林,贝蒂·康登,多么美妙的感觉！,1927年，由唐·洛克伍德（吉恩·凯利 饰）和丽娜·雷蒙德（简·哈根 饰）主演的《皇家流氓》在好莱坞首映。由于丽娜刺耳的嗓音无法匹配其夺目的外貌，为了维护明星形象，宣传部只得安排唐一人讲话。首映后，由于钢琴师科斯莫·布朗（唐纳德·奥康纳 饰）的汽车爆胎，为了躲避疯狂的影迷，唐意外结识了能歌善舞的凯西·塞尔登（黛比·雷诺斯 饰），并被其深深吸引。数周后，首部有声电影《爵士歌手》爆红，唐与丽娜的新片《决斗骑士》不得不临时改变拍摄方式，而凯西也成为歌舞片演员。因预映口碑极差，科斯莫提议将《决斗骑士》改为歌舞片，由凯西为丽娜配音，凯西积极附议。与凯西吻别后，唐心花怒放，在雨中载歌载舞。科斯莫的计划能否奏效？幕后的凯西能否走到台前接受观众的掌声？
我的英雄学院：英雄崛起,(2019),2019-12-20 (JP),"动画,动作,奇幻,冒险",1h 44m,81,日语,长崎健司,Kohei Horikoshi,简介,新剧场版由原著作者堀越耕平担任总监修/角色原案，将展开原创故事。堀越耕平表示该剧场版在某种意义上是原作的最终回。
地球公民,(2005),2005-09-24 (US),纪录,1h 35m,81,英语,,Shaun Monson,《地球公民》是由Shaun Monson自编自导的记录片，杰昆·菲尼克斯、Maggie Q等参与演出。该片从宠物，食物，衣物，娱乐，科学五个部分系统全面地揭露了当今人类是如何大规模地屠杀和虐待动物的故事。,本片从包括肉食、鱼、蛋类和奶制品等的畜牧业，包括皮革和皮草等的服装，包括马戏团、体育、动物园等的娱乐动物，伴侣动物，试验动物等全面地揭露了当今人类是如何大规模地屠杀和虐待动物。影片让观众看到，我们这个星球已经成为了一个巨大的屠宰场，人类已经堕落到何等残忍和无知的境地而不自觉。对于动物来说，地球如同地狱。
杀死比尔：血色全传,(2011),2026-08-07 (CN),"动作,犯罪,剧情,惊悚",4h 13m,81,英语,乌玛·瑟曼,昆汀·塔伦蒂诺,"The 4th film by Quentin Tarantino. Uncut, unrated, and shown in its entirety.",昆汀·塔伦蒂诺的本片将第一卷与第二卷合二为一，呈现出一部未分级的完整史诗一一完全以导演原本意图呈现，并包含一段前所未见的新动画片段。新娘（乌玛·瑟曼 Uma Thurman 饰）曾是暗杀组织中的一名成员，也是组织首脑比尔（大卫·卡拉丁 David Carradine 饰）的情人，金盆洗手后的她结识了一个单纯的小伙子并准备忘掉过去与之结婚。没想到，婚礼当天比尔突然出现，并带领手下大开杀戒，霎时间，圣洁的教堂变成人间地狱。新娘头部中弹昏迷4年，醒来后脑中首先想起的便是昏迷前的几张残酷的面孔，他们是曾经的同僚和爱人，是如今的敌人。满腔怒火的新娘要一一找到这些人，开启血色复仇……
机器人总动员,(2008),2026-08-15 (CN),"动画,家庭,科幻",1h 38m,81,英语,吉姆·里尔登,安德鲁·斯坦顿,一个超越“平凡”的冒险,公元 2700 年，人类文明高度发展，却因污染和生活垃圾大量增加使得地球不再适于人类居住。地球人被迫乘坐飞船离开故乡，进行一次漫长无边的宇宙之旅。临行前他们委托 Buynlarge 的公司对地球垃圾进行清理，该公司开发了名为 WALL·E（地球废品分装员的缩写）的机器人担当此重任。 这些机器人按照程序日复一日、年复一年辛勤工作，但随着时间的流逝和恶劣环境的侵蚀，WALL·E 们接连损坏、停止运动。最后只有一个仍在进行这项似乎永无止境的工作。经历了漫长的岁月，它开始拥有了自己的意识。它喜欢将收集来的宝贝小心翼翼藏起，喜欢收工后看看几百年前的歌舞片，此外还有一只蟑螂朋友作伴。直到有一天，一艘来自宇宙的飞船打破了它一成不变的生活…
奇爱博士,(1964),2024-04-18 (CN),"喜剧,战争",1h 35m,81,英语,彼得·乔治,斯坦利·库布里克,这部热线悬疑喜剧。,斯坦利·库布里克对冷战焦虑的痛苦式幽默诠释，是好莱坞有史以来对人类愚行最尖锐的讽刺之一。千面戏骨彼得·塞勒斯一人分饰三个截然不同的角色：皇家空军上校莱昂内尔·曼德雷克——怯懦地试图阻止一位精神失常的美军将军下令对苏联发动核袭击；优柔寡断且始终惊愕的美国总统默金·马夫利，不得不将噩耗告知苏联总理；以及片名所指的奇爱博士本人，那位身坐轮椅、有着纳粹过往的总统顾问。在几乎所有难以想象的场景中发掘出荒诞笑料，本片是一部颠覆性杰作，正式宣告库布里克成为无与伦比的风格大师与漆黑讽刺家。[标准收藏]
